REGION,YEAR,PRODUCTION (MT)
Ilocos Region,2000,852863
Ilocos Region,2001,868878
Ilocos Region,2002,854598
Ilocos Region,2003,908912
Ilocos Region,2004,934314
Ilocos Region,2005,982868
Ilocos Region,2006,1045763
Ilocos Region,2007,1078029
Ilocos Region,2008,1113627
Ilocos Region,2009,929064
Ilocos Region,2010,1108293
Ilocos Region,2011,1144248
Ilocos Region,2012,1245655
Ilocos Region,2013,1270037
Ilocos Region,2014,1305464
Ilocos Region,2015,1290575
Ilocos Region,2016,1305193
Ilocos Region,2017,1270037
Ilocos Region,2018,1255233.52
Ilocos Region,2019,1349712
Ilocos Region,2020,1385111.85
Ilocos Region,2021,1379740.6
Ilocos Region,2022,1405074.84
Ilocos Region,2023,1421348.15
Cagayan Valley,2000,1785137
Cagayan Valley,2001,1810196
Cagayan Valley,2002,1707575
Cagayan Valley,2003,1666484
Cagayan Valley,2004,1722223
Cagayan Valley,2005,1754957
Cagayan Valley,2006,1768665
Cagayan Valley,2007,1826454
Cagayan Valley,2008,1872024
Cagayan Valley,2009,1834899
Cagayan Valley,2010,1633085
Cagayan Valley,2011,1924301
Cagayan Valley,2012,2177336
Cagayan Valley,2013,2225217
Cagayan Valley,2014,2310297
Cagayan Valley,2015,2303173.34
Cagayan Valley,2016,2181739.1
Cagayan Valley,2017,2225221.43
Cagayan Valley,2018,2159707
Cagayan Valley,2019,2462158.68
Cagayan Valley,2020,2449638
Cagayan Valley,2021,2680658.53
Cagayan Valley,2022,2689800.82
Cagayan Valley,2023,2751885.27
Central Luzon,2000,1650587
Central Luzon,2001,1802685
Central Luzon,2002,1856122
Central Luzon,2003,2095908
Central Luzon,2004,2149102
Central Luzon,2005,2254494
Central Luzon,2006,2365130
Central Luzon,2007,2628489
Central Luzon,2008,2710433
Central Luzon,2009,2537528
Central Luzon,2010,2712810
Central Luzon,2011,2386583
Central Luzon,2012,2939815
Central Luzon,2013,3093762
Central Luzon,2014,3423053
Central Luzon,2015,3059780
Central Luzon,2016,3114840.12
Central Luzon,2017,3093762
Central Luzon,2018,3346165
Central Luzon,2019,3504637.32
Central Luzon,2020,3421393.54
Central Luzon,2021,3555263.23
Central Luzon,2022,3496451.05
Central Luzon,2023,3528142.38
Western Visayas,2000,976772
Western Visayas,2001,945759
Western Visayas,2002,990945
Western Visayas,2003,1038003
Western Visayas,2004,1114381
Western Visayas,2005,1055876
Western Visayas,2006,1198704
Western Visayas,2007,1157896
Western Visayas,2008,1240210
Western Visayas,2009,1247237
Western Visayas,2010,1007228
Western Visayas,2011,1188422
Western Visayas,2012,1156461
Western Visayas,2013,1087993
Western Visayas,2014,1085142
Western Visayas,2015,1113382
Western Visayas,2016,993869
Western Visayas,2017,1087993
Western Visayas,2018,1102620.3
Western Visayas,2019,1043647.28
Western Visayas,2020,1104361.68
Western Visayas,2021,1132195.41
Western Visayas,2022,1111178.21
Western Visayas,2023,1115633.31
SOCCSKSARGEN,2000,733533
SOCCSKSARGEN,2001,824359
SOCCSKSARGEN,2002,814875
SOCCSKSARGEN,2003,889816
SOCCSKSARGEN,2004,938798
SOCCSKSARGEN,2005,927057
SOCCSKSARGEN,2006,958805
SOCCSKSARGEN,2007,992386
SOCCSKSARGEN,2008,998390
SOCCSKSARGEN,2009,996995
SOCCSKSARGEN,2010,985124
SOCCSKSARGEN,2011,985124
SOCCSKSARGEN,2012,1028961
SOCCSKSARGEN,2013,1101859
SOCCSKSARGEN,2014,1115486
SOCCSKSARGEN,2015,1069446
SOCCSKSARGEN,2016,1003147
SOCCSKSARGEN,2017,1101859
SOCCSKSARGEN,2018,1122010
SOCCSKSARGEN,2019,1008192.84
SOCCSKSARGEN,2020,1059750.87
SOCCSKSARGEN,2021,1067621.09
SOCCSKSARGEN,2022,1043271.44
SOCCSKSARGEN,2023,1048249.17
